Nh,Overall dB,Test dB,Train dB,Overall MSE mean,Test MSE mean,Train MSE mean,Overall MSE sem,Test MSE sem,Train MSE sem,Avg. R Squared (test) mean,Avg. R Squared (training) mean,Avg. R Squared (test) sem,Avg. R Squared (training) sem,Avg. Train Time mean,Avg. Train Time sem,Avg. no of iterations,No. of useless models (test),No. of useless models (training)
3,-1.587,-1.37,-1.724,0.025909370560506732,0.04264097003357515,0.018864486571846358,0.002839836179165602,0.0037562256475228628,0.002836744194045753,0.9430481110273121,0.9802187179187891,0.008287624869440924,0.0030299541936276253,1.8071383666992187,0.06254618328280723,500.0,0,0
4,-1.618,-1.374,-1.784,0.024107159380064615,0.0422844023879467,0.016453583376745837,0.0023822167970083442,0.003686032722685024,0.0021634261956715055,0.9434721335433153,0.9828689053260204,0.008349981600792547,0.0022075890676420485,1.821024739742279,0.06601888892302617,500.0,0,0
5,-1.615,-1.361,-1.79,0.024292554569783138,0.04350866683033475,0.016201559933761406,0.002582492456850946,0.004108749027365171,0.0022609205256884446,0.941368601178929,0.9831557467067704,0.009352671844305029,0.0022880466387975866,1.8140626335144043,0.0636955942352571,500.0,0,0
6,-1.618,-1.361,-1.798,0.02408576148938462,0.043503553947730575,0.015909848875344218,0.002582826113280268,0.0042143310410737485,0.0022086057215814107,0.9408099887914961,0.9834814260907185,0.009716351092692959,0.0022063433916043183,2.0195640325546265,0.06444260269641935,500.0,0,0
7,-1.605,-1.354,-1.779,0.024815745870124944,0.044240803051960445,0.01663677442514157,0.0027654541133364094,0.00433703152823239,0.0024322723626747445,0.9399102443332634,0.9826993233232355,0.009898169193581477,0.002467911607044743,2.0199833416938784,0.07746422559962415,500.0,0,0
8,-1.577,-1.304,-1.776,0.026488820488343112,0.049636016571110636,0.016742632664019944,0.002749414488851278,0.004527971222856938,0.002395139571971687,0.9328937530228758,0.9825746177971212,0.010422789784744809,0.0024185175857713596,1.8832344436645507,0.0758912167668196,500.0,0,0
9,-1.582,-1.319,-1.769,0.02620661499018327,0.048022635791886134,0.017020922021045215,0.0028717551950274,0.004706308527992658,0.002514569169767429,0.9340987229553025,0.9822820643805745,0.01063663554516891,0.0025633944309125705,2.265232880115509,0.0687292037244372,500.0,0,0
10,-1.575,-1.305,-1.77,0.026626572494777245,0.049526853581098894,0.016984348879483923,0.002895473650025367,0.004565430700058945,0.002589064999037184,0.9334993726127847,0.9823168064995896,0.010267624577931086,0.002652834018486343,2.3351496195793153,0.07638830907797532,500.0,0,0
11,-1.572,-1.303,-1.765,0.026816275218260646,0.04972917296806284,0.0171687393236071,0.0030021628137975403,0.004696647894634269,0.002685317831744971,0.9331205300649685,0.9821200005681153,0.010541328332513875,0.002760659752264338,2.357551336288452,0.07901604132045029,500.0,1,0
12,-1.613,-1.332,-1.822,0.024377807898485298,0.046511681424714846,0.01505828220323076,0.002725973430146058,0.004423430388630979,0.0023847484325570916,0.937438315713766,0.9843887281309253,0.010035101103391694,0.002422436476000471,2.221906318664551,0.08382096875557474,500.0,0,0
13,-1.615,-1.335,-1.823,0.024275555550401316,0.04625568906416027,0.01502076249197649,0.0028457164266424183,0.004618618178958376,0.002452654087278696,0.9371811260021672,0.9844421555034593,0.010646357266054705,0.0024800462304450177,1.9245171546936035,0.07062784170052636,500.0,0,0
14,-1.62,-1.34,-1.828,0.024003001769965757,0.04570323345041863,0.014866062115038237,0.002820654238986113,0.004637481238234627,0.0024014097489199688,0.9375238325843503,0.9846163900692264,0.01078695985042696,0.0024099725127348917,2.0543415665626528,0.06925935761914087,500.0,0,0
15,-1.616,-1.335,-1.826,0.02420316801162139,0.04620952072943461,0.014937335288331622,0.00285436967805208,0.0046698770768927745,0.002440817330070028,0.9371163812833473,0.9845377367946003,0.010771960060485027,0.002458563476826219,1.9337773299217225,0.07176219550654708,500.0,1,0
16,-1.634,-1.355,-1.842,0.023205942047682143,0.04413918258420178,0.014391946032305458,0.0027449586511197168,0.004500937389573274,0.002319206596512497,0.9392083863228813,0.9851279981519546,0.010655084464354984,0.002314400006235091,1.976601185798645,0.07182886577825556,500.0,0,0
17,-1.648,-1.354,-1.875,0.022496061450659504,0.044283269795845834,0.013322500042159987,0.0027133416169653644,0.004495788654621148,0.002278328316688452,0.9397156178273065,0.9862521774161565,0.010360210980862735,0.002258298223939044,2.111612370014191,0.07304220660033772,500.0,0,0
18,-1.638,-1.356,-1.849,0.023016977896282806,0.044066784276702214,0.014153901525579899,0.0026426803927521655,0.004502978781009427,0.002180491965583088,0.9386896720051762,0.9853814042339042,0.010738213047455586,0.002148443211305748,2.3610981917381286,0.08236640349527506,500.0,0,0
19,-1.642,-1.362,-1.852,0.02277801363874541,0.043475908438818135,0.014063110565030583,0.002649265438647563,0.004490493296565904,0.0021786525833192598,0.9392087561591295,0.9854849928872348,0.01078373715534058,0.0021416619272690398,2.3496888995170595,0.08214624092862485,500.0,0,0
20,-1.638,-1.357,-1.849,0.02299125575535933,0.043944372721333745,0.014168890717054303,0.002698524731537327,0.004571008559535563,0.0022015506412146617,0.9386080998915187,0.9853833990506037,0.011041356127394923,0.0021471591248205966,2.3547141289711,0.08458014019086808,500.0,0,0
21,-1.623,-1.319,-1.866,0.023797943752963655,0.04801433342353522,0.013601569154828257,0.0027530981138547098,0.004897233212401453,0.0022409410618683674,0.9316309749808284,0.9859759315098241,0.01234100110957369,0.002190548358115066,2.203910949230194,0.08904678924894907,500.0,0,0
22,-1.644,-1.351,-1.869,0.02270953190376562,0.044543256195674716,0.013516384833488127,0.0024937647743765935,0.004347680470496995,0.0019917926646131003,0.9387399144536307,0.9860895260633327,0.010435552705901723,0.0019029004249576126,2.0144151282310485,0.07561411724124659,500.0,0,0
23,-1.647,-1.354,-1.873,0.02253225410891231,0.04420868665917543,0.013405335140380465,0.002515896127958806,0.004403625151418435,0.0019788083003180286,0.939088639357061,0.9862215930189052,0.010499778606741127,0.001866076553580329,2.0544711637496946,0.07810173297423736,500.0,0,0
24,-1.647,-1.353,-1.874,0.02254987963474424,0.04437216902369185,0.013361547260450517,0.0025468329862479845,0.004461603163704389,0.0020008278209853706,0.9387951250048685,0.9862706905342344,0.010650209834269972,0.0018884382826985762,2.026770205497742,0.07412517460401492,500.0,0,0
25,-1.659,-1.355,-1.902,0.021906857968269335,0.0441628176811248,0.012535927562856515,0.0025780304234634104,0.0044960206250470435,0.002030651716261983,0.9398739874729131,0.9871361530346985,0.010354111335815333,0.0019152435389434307,2.0432134199142458,0.07561232078858768,500.0,0,0
26,-1.652,-1.364,-1.871,0.022297546997913954,0.0432766448262973,0.013464242649120974,0.0025420137101536755,0.004483362380941708,0.0019614503372749554,0.9394526876491451,0.9861684056870419,0.010861184748809687,0.0018231992756547826,2.1194221711158754,0.12053695227180203,500.0,0,0
27,-1.655,-1.369,-1.871,0.022144433213750026,0.042785330028400875,0.013453529291791767,0.0024840835347069335,0.0044856587049297,0.0018673381094595723,0.9399380491491587,0.9861925640707223,0.010836389106465604,0.0016959098777880465,2.0878618860244753,0.07904285092414745,500.0,0,0
28,-1.654,-1.368,-1.871,0.02216928523018266,0.042888653433539335,0.013445340723506167,0.0024967133612276327,0.004455233844651491,0.0018921568642964108,0.9398886827842746,0.9861985004806896,0.01080471671014048,0.0017278539874940268,2.342965552806854,0.09315917917908767,500.0,0,0
29,-1.66,-1.37,-1.883,0.021861827416413526,0.042670980184562605,0.013100078882456017,0.0023945923067721655,0.004370737552213959,0.0017720282136781383,0.9402324737178702,0.9865807610852171,0.010608138742887274,0.0015734309120270522,2.0785784125328064,0.07943048588942539,500.0,0,0
